incident_id,year,month,department,incident_type,severity,shift,worker_experience,root_cause,days_lost,corrective_action_taken
INC-0051,2021,3,Underground Mining,Equipment Contact,First Aid,Day,1–3 years,Inadequate procedure,0,Yes
INC-0052,2021,2,Processing Plant,Electrical Incident,Lost Time Injury,Afternoon,5–10 years,Fatigue,4,Yes
INC-0053,2023,9,Maintenance,Struck by Object,Near Miss,Afternoon,1–3 years,Human error,0,Yes
INC-0054,2022,3,Open Pit Operations,Slip / Trip / Fall,First Aid,Afternoon,5–10 years,Insufficient training,0,No
INC-0055,2021,9,Open Pit Operations,Manual Handling,Lost Time Injury,Day,3–5 years,Human error,7,Yes
INC-0056,2019,9,Processing Plant,Manual Handling,Medical Treatment,Day,5–10 years,Inadequate procedure,1,Yes
INC-0057,2019,2,Underground Mining,Vehicle Collision,First Aid,Night,<1 year,Poor communication,0,No
INC-0058,2023,7,Processing Plant,Vehicle Collision,Lost Time Injury,Day,3–5 years,Insufficient training,10,Yes
INC-0059,2022,5,Processing Plant,Equipment Contact,Lost Time Injury,Day,1–3 years,Inadequate supervision,6,No
INC-0060,2023,11,Maintenance,Vehicle Collision,First Aid,Day,1–3 years,Equipment failure,0,Yes
INC-0061,2024,11,Tailings Management,Vehicle Collision,Medical Treatment,Night,3–5 years,Inadequate procedure,1,Partial
INC-0062,2023,10,Logistics & Transport,Chemical Exposure,Lost Time Injury,Day,3–5 years,Inadequate supervision,6,Yes
INC-0063,2019,8,Drilling & Blasting,Vehicle Collision,Near Miss,Day,3–5 years,Human error,0,No
INC-0064,2021,8,Maintenance,Manual Handling,First Aid,Night,<1 year,Inadequate procedure,0,Yes
INC-0065,2022,4,Maintenance,Near Miss,Lost Time Injury,Day,1–3 years,Insufficient training,6,Partial
INC-0066,2020,3,Underground Mining,Slip / Trip / Fall,Medical Treatment,Day,>10 years,Equipment failure,1,Partial
INC-0067,2024,10,Drilling & Blasting,Struck by Object,Medical Treatment,Day,3–5 years,Fatigue,1,Partial
INC-0068,2024,6,Processing Plant,Vehicle Collision,First Aid,Day,1–3 years,Insufficient training,0,Yes
INC-0069,2024,12,Logistics & Transport,Manual Handling,Near Miss,Afternoon,5–10 years,Equipment failure,0,Yes
INC-0070,2022,6,Tailings Management,Manual Handling,Near Miss,Day,3–5 years,Poor communication,0,Partial
INC-0071,2024,6,Tailings Management,Struck by Object,Medical Treatment,Night,<1 year,Human error,1,Yes
INC-0072,2019,9,Open Pit Operations,Electrical Incident,Near Miss,Day,1–3 years,Insufficient training,0,Partial
INC-0073,2021,12,Underground Mining,Slip / Trip / Fall,Near Miss,Night,<1 year,Environmental condition,0,Yes
INC-0074,2022,3,Open Pit Operations,Struck by Object,First Aid,Day,1–3 years,Equipment failure,0,Yes
INC-0075,2023,6,Open Pit Operations,Slip / Trip / Fall,First Aid,Day,1–3 years,Human error,0,Partial
INC-0076,2022,9,Underground Mining,Manual Handling,First Aid,Afternoon,<1 year,Insufficient training,0,Yes
INC-0077,2019,4,Underground Mining,Near Miss,First Aid,Day,3–5 years,Insufficient training,0,Yes
INC-0078,2021,7,Tailings Management,Equipment Contact,Near Miss,Day,1–3 years,Insufficient training,0,Yes
INC-0079,2021,7,HSE / Supervision,Vehicle Collision,Near Miss,Day,5–10 years,Inadequate procedure,0,No
INC-0080,2021,10,Underground Mining,Vehicle Collision,Lost Time Injury,Night,>10 years,Inadequate procedure,2,Yes
INC-0081,2020,4,Open Pit Operations,Slip / Trip / Fall,Near Miss,Night,<1 year,Equipment failure,0,Yes
INC-0082,2021,10,Electrical,Fire / Explosion,Near Miss,Day,3–5 years,Insufficient training,0,Partial
INC-0083,2022,9,Processing Plant,Equipment Contact,Lost Time Injury,Day,<1 year,Inadequate supervision,28,No
INC-0084,2023,7,Underground Mining,Near Miss,First Aid,Day,3–5 years,Human error,0,No
INC-0085,2023,8,Electrical,Struck by Object,Medical Treatment,Day,5–10 years,Inadequate procedure,1,Yes
INC-0086,2022,7,Tailings Management,Manual Handling,Medical Treatment,Day,5–10 years,Inadequate supervision,1,Yes
INC-0087,2022,6,Open Pit Operations,Manual Handling,First Aid,Day,<1 year,PPE non-compliance,0,Yes
INC-0088,2023,8,Open Pit Operations,Slip / Trip / Fall,First Aid,Day,<1 year,Human error,0,Partial
INC-0089,2024,1,Underground Mining,Slip / Trip / Fall,Lost Time Injury,Night,1–3 years,Inadequate supervision,32,Yes
INC-0090,2023,12,Processing Plant,Equipment Contact,First Aid,Night,1–3 years,PPE non-compliance,0,Partial
INC-0091,2023,11,Electrical,Chemical Exposure,Lost Time Injury,Night,3–5 years,Inadequate procedure,24,Yes
INC-0092,2024,5,Electrical,Vehicle Collision,First Aid,Night,<1 year,Inadequate procedure,0,Partial
INC-0093,2019,11,Underground Mining,Slip / Trip / Fall,Lost Time Injury,Day,>10 years,Equipment failure,5,Yes
INC-0094,2024,1,Open Pit Operations,Struck by Object,Medical Treatment,Night,1–3 years,Inadequate procedure,1,Yes
INC-0095,2021,3,Open Pit Operations,Struck by Object,Near Miss,Day,>10 years,Human error,0,Partial
INC-0096,2022,6,Underground Mining,Fire / Explosion,Lost Time Injury,Night,5–10 years,Fatigue,3,Yes
INC-0097,2023,8,Open Pit Operations,Slip / Trip / Fall,First Aid,Day,1–3 years,Insufficient training,0,No
INC-0098,2023,7,Logistics & Transport,Equipment Contact,First Aid,Day,3–5 years,Insufficient training,0,Partial
INC-0099,2020,9,Open Pit Operations,Electrical Incident,First Aid,Day,5–10 years,Equipment failure,0,Yes
INC-0100,2023,5,Maintenance,Slip / Trip / Fall,First Aid,Night,3–5 years,Human error,0,Yes
INC-0101,2019,5,HSE / Supervision,Slip / Trip / Fall,First Aid,Night,1–3 years,Equipment failure,0,Yes
INC-0102,2021,1,Processing Plant,Chemical Exposure,First Aid,Afternoon,>10 years,Inadequate supervision,0,Yes
INC-0103,2024,3,Tailings Management,Slip / Trip / Fall,Medical Treatment,Night,3–5 years,Insufficient training,1,No
INC-0104,2021,2,Maintenance,Slip / Trip / Fall,Medical Treatment,Afternoon,1–3 years,Poor communication,1,Yes
INC-0105,2022,11,Underground Mining,Struck by Object,First Aid,Night,1–3 years,Human error,0,Yes
INC-0106,2023,12,Underground Mining,Slip / Trip / Fall,Near Miss,Day,>10 years,Insufficient training,0,Partial
INC-0107,2024,9,Electrical,Manual Handling,First Aid,Day,>10 years,Equipment failure,0,Partial
INC-0108,2023,6,Underground Mining,Slip / Trip / Fall,Near Miss,Night,<1 year,Equipment failure,0,Yes
INC-0109,2019,10,Open Pit Operations,Chemical Exposure,First Aid,Night,<1 year,Environmental condition,0,Yes
INC-0110,2021,1,Underground Mining,Chemical Exposure,Medical Treatment,Day,1–3 years,Insufficient training,1,No
INC-0111,2022,5,Processing Plant,Struck by Object,First Aid,Night,1–3 years,Insufficient training,0,Yes
INC-0112,2019,5,Maintenance,Near Miss,Near Miss,Afternoon,>10 years,Inadequate procedure,0,No
INC-0113,2022,1,Logistics & Transport,Vehicle Collision,Near Miss,Night,>10 years,Equipment failure,0,Yes
INC-0114,2022,1,Logistics & Transport,Manual Handling,Near Miss,Night,1–3 years,Poor communication,0,Yes
INC-0115,2024,11,Underground Mining,Slip / Trip / Fall,First Aid,Day,3–5 years,Inadequate supervision,0,Yes
INC-0116,2024,12,Processing Plant,Slip / Trip / Fall,Near Miss,Day,3–5 years,Inadequate procedure,0,Partial
INC-0117,2019,2,Maintenance,Slip / Trip / Fall,First Aid,Afternoon,1–3 years,Equipment failure,0,Yes
INC-0118,2020,3,Underground Mining,Equipment Contact,Near Miss,Day,3–5 years,Environmental condition,0,Yes
INC-0119,2023,5,Underground Mining,Manual Handling,Medical Treatment,Afternoon,3–5 years,Inadequate procedure,1,Yes
INC-0120,2019,8,Underground Mining,Struck by Object,Near Miss,Afternoon,1–3 years,Poor communication,0,Yes
INC-0121,2020,12,Underground Mining,Slip / Trip / Fall,Lost Time Injury,Day,<1 year,Inadequate supervision,4,No
INC-0122,2022,8,Maintenance,Struck by Object,Near Miss,Day,>10 years,Insufficient training,0,No
INC-0123,2020,11,Processing Plant,Fire / Explosion,First Aid,Afternoon,1–3 years,Human error,0,Yes
INC-0124,2023,9,Maintenance,Equipment Contact,Near Miss,Afternoon,1–3 years,Inadequate procedure,0,Partial
INC-0125,2024,8,Electrical,Vehicle Collision,Near Miss,Night,>10 years,Insufficient training,0,Yes
INC-0126,2019,2,Underground Mining,Fire / Explosion,First Aid,Night,5–10 years,Human error,0,Yes
INC-0127,2022,9,Underground Mining,Equipment Contact,Near Miss,Day,3–5 years,Insufficient training,0,Partial
INC-0128,2023,6,Open Pit Operations,Vehicle Collision,Near Miss,Night,1–3 years,Human error,0,Yes
INC-0129,2024,7,HSE / Supervision,Vehicle Collision,Near Miss,Night,1–3 years,Environmental condition,0,Yes
INC-0130,2021,9,Drilling & Blasting,Struck by Object,Near Miss,Day,5–10 years,Environmental condition,0,No
INC-0131,2020,11,Processing Plant,Struck by Object,Near Miss,Day,<1 year,Fatigue,0,No
INC-0132,2024,4,Open Pit Operations,Manual Handling,First Aid,Day,<1 year,Human error,0,No
INC-0133,2024,10,Underground Mining,Equipment Contact,Lost Time Injury,Day,<1 year,Equipment failure,14,Yes
INC-0134,2020,8,Maintenance,Chemical Exposure,Near Miss,Afternoon,<1 year,Insufficient training,0,Yes
INC-0135,2022,3,Drilling & Blasting,Slip / Trip / Fall,First Aid,Night,3–5 years,Environmental condition,0,Partial
INC-0136,2023,7,Open Pit Operations,Electrical Incident,Near Miss,Day,<1 year,Equipment failure,0,Yes
INC-0137,2024,1,Open Pit Operations,Chemical Exposure,Near Miss,Day,1–3 years,Poor communication,0,Partial
INC-0138,2020,2,Drilling & Blasting,Slip / Trip / Fall,Medical Treatment,Day,5–10 years,PPE non-compliance,1,Yes
INC-0139,2023,6,Open Pit Operations,Equipment Contact,Medical Treatment,Afternoon,5–10 years,Inadequate procedure,1,Yes
INC-0140,2023,7,Maintenance,Equipment Contact,Lost Time Injury,Night,1–3 years,Inadequate procedure,7,Yes
INC-0141,2022,5,Processing Plant,Struck by Object,First Aid,Day,3–5 years,Fatigue,0,Partial
INC-0142,2020,6,Maintenance,Electrical Incident,Lost Time Injury,Day,3–5 years,Fatigue,3,No
INC-0143,2019,2,Underground Mining,Slip / Trip / Fall,Medical Treatment,Night,3–5 years,Inadequate procedure,1,Yes
INC-0144,2021,8,Maintenance,Equipment Contact,Near Miss,Night,<1 year,Human error,0,Yes
INC-0145,2023,6,Underground Mining,Vehicle Collision,Lost Time Injury,Day,1–3 years,Inadequate procedure,3,Yes
INC-0146,2019,4,Open Pit Operations,Struck by Object,First Aid,Day,3–5 years,Inadequate procedure,0,Yes
INC-0147,2019,9,Tailings Management,Electrical Incident,First Aid,Day,1–3 years,Poor communication,0,No
INC-0148,2021,3,Underground Mining,Struck by Object,Near Miss,Day,<1 year,Insufficient training,0,Yes
INC-0149,2019,11,Open Pit Operations,Vehicle Collision,Medical Treatment,Afternoon,1–3 years,Fatigue,1,Yes
INC-0150,2020,6,Underground Mining,Equipment Contact,First Aid,Day,5–10 years,Poor communication,0,Yes
INC-0151,2019,7,Drilling & Blasting,Slip / Trip / Fall,Near Miss,Night,3–5 years,Human error,0,Yes
INC-0152,2022,12,Underground Mining,Electrical Incident,Near Miss,Night,5–10 years,Equipment failure,0,Yes
INC-0153,2023,7,Open Pit Operations,Slip / Trip / Fall,Lost Time Injury,Day,5–10 years,Inadequate supervision,1,Yes
INC-0154,2021,2,Tailings Management,Slip / Trip / Fall,Near Miss,Day,1–3 years,Fatigue,0,Yes
INC-0155,2019,5,Maintenance,Struck by Object,Medical Treatment,Afternoon,1–3 years,Insufficient training,1,Partial
INC-0156,2021,4,Processing Plant,Manual Handling,First Aid,Night,5–10 years,Environmental condition,0,No
INC-0157,2022,9,Processing Plant,Chemical Exposure,Near Miss,Afternoon,<1 year,Insufficient training,0,Yes
INC-0158,2024,5,Open Pit Operations,Equipment Contact,Near Miss,Night,1–3 years,Human error,0,Yes
INC-0159,2024,7,Tailings Management,Manual Handling,Lost Time Injury,Afternoon,3–5 years,Insufficient training,2,No
INC-0160,2020,8,Processing Plant,Struck by Object,Near Miss,Day,5–10 years,Equipment failure,0,Yes
INC-0161,2019,1,Tailings Management,Slip / Trip / Fall,Medical Treatment,Day,<1 year,Inadequate supervision,1,Yes
INC-0162,2024,5,Underground Mining,Chemical Exposure,Medical Treatment,Day,5–10 years,Inadequate procedure,1,Partial
INC-0163,2024,8,Maintenance,Manual Handling,First Aid,Day,3–5 years,Inadequate procedure,0,Partial
INC-0164,2022,7,Open Pit Operations,Equipment Contact,First Aid,Day,<1 year,Insufficient training,0,No
INC-0165,2023,12,HSE / Supervision,Electrical Incident,First Aid,Afternoon,<1 year,Environmental condition,0,Yes
INC-0166,2024,7,Open Pit Operations,Manual Handling,Near Miss,Day,1–3 years,Insufficient training,0,Partial
INC-0167,2022,12,Tailings Management,Fire / Explosion,First Aid,Night,>10 years,PPE non-compliance,0,Partial
INC-0168,2024,6,Open Pit Operations,Slip / Trip / Fall,Medical Treatment,Day,1–3 years,Environmental condition,1,Yes
INC-0169,2019,1,Open Pit Operations,Manual Handling,Medical Treatment,Day,1–3 years,Poor communication,1,Yes
INC-0170,2021,9,Open Pit Operations,Manual Handling,First Aid,Day,<1 year,Human error,0,Yes
INC-0171,2021,11,Underground Mining,Electrical Incident,Medical Treatment,Day,>10 years,Inadequate supervision,1,Partial
INC-0172,2019,4,Maintenance,Fire / Explosion,Near Miss,Night,5–10 years,Inadequate procedure,0,Yes
INC-0173,2024,3,Processing Plant,Struck by Object,First Aid,Day,1–3 years,Fatigue,0,Yes
INC-0174,2019,11,Maintenance,Manual Handling,Lost Time Injury,Night,5–10 years,Poor communication,2,Partial
INC-0175,2023,5,Underground Mining,Slip / Trip / Fall,Near Miss,Day,5–10 years,Environmental condition,0,No
INC-0176,2019,2,Maintenance,Slip / Trip / Fall,First Aid,Afternoon,5–10 years,Poor communication,0,Partial
INC-0177,2021,5,Processing Plant,Struck by Object,First Aid,Day,3–5 years,Human error,0,No
INC-0178,2021,7,Electrical,Slip / Trip / Fall,Near Miss,Day,1–3 years,Poor communication,0,Yes
INC-0179,2020,10,Maintenance,Manual Handling,Medical Treatment,Day,>10 years,Human error,1,Yes
INC-0180,2022,9,Processing Plant,Vehicle Collision,Medical Treatment,Night,>10 years,Fatigue,1,No
INC-0181,2022,11,Underground Mining,Vehicle Collision,Medical Treatment,Night,>10 years,Poor communication,1,No
INC-0182,2021,7,Maintenance,Struck by Object,Medical Treatment,Afternoon,3–5 years,Inadequate procedure,1,Yes
INC-0183,2023,1,Processing Plant,Struck by Object,First Aid,Day,3–5 years,Inadequate supervision,0,Partial
INC-0184,2020,1,Processing Plant,Chemical Exposure,Medical Treatment,Day,5–10 years,Human error,1,Yes
INC-0185,2020,3,Underground Mining,Slip / Trip / Fall,First Aid,Day,1–3 years,Environmental condition,0,Yes
INC-0186,2021,1,Logistics & Transport,Struck by Object,Lost Time Injury,Day,>10 years,Environmental condition,2,Yes
INC-0187,2021,4,Maintenance,Manual Handling,Lost Time Injury,Night,5–10 years,Poor communication,3,Partial
INC-0188,2020,3,Maintenance,Struck by Object,Near Miss,Day,3–5 years,Poor communication,0,Yes
INC-0189,2024,11,Processing Plant,Manual Handling,First Aid,Afternoon,>10 years,Insufficient training,0,Yes
INC-0190,2024,5,Tailings Management,Chemical Exposure,Near Miss,Day,5–10 years,Environmental condition,0,Partial
INC-0191,2019,6,Tailings Management,Struck by Object,First Aid,Day,5–10 years,Insufficient training,0,Partial
INC-0192,2021,10,Open Pit Operations,Struck by Object,First Aid,Afternoon,1–3 years,Inadequate procedure,0,Partial
INC-0193,2020,4,Open Pit Operations,Struck by Object,Near Miss,Afternoon,>10 years,Insufficient training,0,Yes
INC-0194,2022,7,Maintenance,Vehicle Collision,Fatality,Day,1–3 years,Fatigue,0,Yes
INC-0195,2021,9,Open Pit Operations,Equipment Contact,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0196,2022,2,Processing Plant,Slip / Trip / Fall,Medical Treatment,Night,5–10 years,Inadequate procedure,1,Yes
INC-0197,2024,10,Processing Plant,Equipment Contact,Lost Time Injury,Day,<1 year,Insufficient training,15,Yes
INC-0198,2021,5,Underground Mining,Struck by Object,First Aid,Day,5–10 years,Inadequate supervision,0,Partial
INC-0199,2023,4,Tailings Management,Manual Handling,First Aid,Day,<1 year,Human error,0,No
INC-0200,2022,9,Processing Plant,Manual Handling,Medical Treatment,Night,5–10 years,Inadequate procedure,1,Yes
INC-0201,2023,1,Processing Plant,Equipment Contact,Near Miss,Day,5–10 years,Environmental condition,0,Partial
INC-0202,2019,12,Underground Mining,Slip / Trip / Fall,Near Miss,Afternoon,3–5 years,Poor communication,0,Yes
INC-0203,2023,5,Underground Mining,Chemical Exposure,Medical Treatment,Night,>10 years,Human error,1,No
INC-0204,2024,10,Maintenance,Electrical Incident,Near Miss,Night,5–10 years,Fatigue,0,No
INC-0205,2022,2,Processing Plant,Struck by Object,First Aid,Night,5–10 years,Human error,0,Yes
INC-0206,2021,8,Maintenance,Manual Handling,Near Miss,Afternoon,>10 years,Fatigue,0,No
INC-0207,2023,11,Logistics & Transport,Slip / Trip / Fall,Medical Treatment,Day,<1 year,Human error,1,Partial
INC-0208,2023,10,Underground Mining,Slip / Trip / Fall,Near Miss,Afternoon,1–3 years,Insufficient training,0,Yes
INC-0209,2023,11,Open Pit Operations,Manual Handling,Near Miss,Night,1–3 years,Environmental condition,0,Yes
INC-0210,2020,3,Maintenance,Fire / Explosion,Lost Time Injury,Day,1–3 years,Human error,1,Yes
INC-0211,2024,11,Maintenance,Vehicle Collision,Near Miss,Night,1–3 years,Human error,0,Partial
INC-0212,2024,5,Maintenance,Struck by Object,Near Miss,Night,<1 year,Insufficient training,0,Yes
INC-0213,2021,4,Processing Plant,Equipment Contact,Medical Treatment,Night,<1 year,Insufficient training,1,No
INC-0214,2022,5,Maintenance,Manual Handling,Near Miss,Day,<1 year,Poor communication,0,Yes
INC-0215,2019,6,Underground Mining,Struck by Object,Near Miss,Afternoon,1–3 years,PPE non-compliance,0,Yes
INC-0216,2024,10,Electrical,Struck by Object,First Aid,Day,1–3 years,Environmental condition,0,Partial
INC-0217,2024,9,Open Pit Operations,Struck by Object,First Aid,Afternoon,1–3 years,Inadequate procedure,0,Partial
INC-0218,2023,10,Logistics & Transport,Manual Handling,Near Miss,Afternoon,1–3 years,Fatigue,0,Yes
INC-0219,2023,2,Open Pit Operations,Struck by Object,Medical Treatment,Afternoon,3–5 years,Equipment failure,1,Yes
INC-0220,2020,11,Processing Plant,Equipment Contact,Medical Treatment,Day,5–10 years,Inadequate procedure,1,Yes
INC-0221,2021,4,Maintenance,Struck by Object,Medical Treatment,Day,<1 year,Equipment failure,1,No
INC-0222,2020,10,Tailings Management,Manual Handling,Near Miss,Night,5–10 years,Insufficient training,0,Partial
INC-0223,2022,1,Underground Mining,Fire / Explosion,First Aid,Night,>10 years,Inadequate procedure,0,Yes
INC-0224,2019,2,Tailings Management,Slip / Trip / Fall,First Aid,Night,5–10 years,Equipment failure,0,Yes
INC-0225,2024,3,Electrical,Manual Handling,Lost Time Injury,Afternoon,1–3 years,Environmental condition,7,Yes
INC-0226,2022,4,Logistics & Transport,Near Miss,Near Miss,Day,5–10 years,Environmental condition,0,No
INC-0227,2022,1,Open Pit Operations,Slip / Trip / Fall,First Aid,Night,<1 year,Fatigue,0,Yes
INC-0228,2019,9,Processing Plant,Equipment Contact,First Aid,Afternoon,5–10 years,Human error,0,Yes
INC-0229,2023,6,Maintenance,Slip / Trip / Fall,First Aid,Night,5–10 years,Inadequate supervision,0,Yes
INC-0230,2024,4,Open Pit Operations,Vehicle Collision,Near Miss,Day,3–5 years,Human error,0,Yes
INC-0231,2023,2,Underground Mining,Manual Handling,Medical Treatment,Day,>10 years,Equipment failure,1,Yes
INC-0232,2020,1,Processing Plant,Slip / Trip / Fall,Near Miss,Afternoon,5–10 years,Insufficient training,0,No
INC-0233,2023,10,Maintenance,Struck by Object,Fatality,Night,5–10 years,Human error,0,Yes
INC-0234,2020,9,Open Pit Operations,Struck by Object,Near Miss,Afternoon,<1 year,Poor communication,0,Yes
INC-0235,2024,9,Processing Plant,Near Miss,Near Miss,Afternoon,<1 year,Insufficient training,0,Yes
INC-0236,2022,3,Drilling & Blasting,Manual Handling,Near Miss,Day,3–5 years,Human error,0,Partial
INC-0237,2021,11,Logistics & Transport,Fire / Explosion,Lost Time Injury,Night,5–10 years,Equipment failure,5,Yes
INC-0238,2022,8,Underground Mining,Equipment Contact,Near Miss,Day,3–5 years,Human error,0,No
INC-0239,2023,3,Maintenance,Struck by Object,Medical Treatment,Night,5–10 years,Poor communication,1,Yes
INC-0240,2020,5,Underground Mining,Vehicle Collision,Lost Time Injury,Day,5–10 years,Insufficient training,2,Yes
INC-0241,2024,8,Underground Mining,Near Miss,Lost Time Injury,Day,5–10 years,Inadequate supervision,12,Partial
INC-0242,2021,5,Drilling & Blasting,Manual Handling,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0243,2024,4,Underground Mining,Manual Handling,First Aid,Night,<1 year,Equipment failure,0,Yes
INC-0244,2024,11,Maintenance,Manual Handling,Lost Time Injury,Night,1–3 years,Insufficient training,2,Yes
INC-0245,2019,1,Logistics & Transport,Equipment Contact,Near Miss,Night,1–3 years,Inadequate procedure,0,Yes
INC-0246,2023,12,Processing Plant,Equipment Contact,Fatality,Night,1–3 years,Insufficient training,0,Yes
INC-0247,2021,2,Underground Mining,Electrical Incident,Lost Time Injury,Day,<1 year,Insufficient training,2,Partial
INC-0248,2023,1,Open Pit Operations,Chemical Exposure,Lost Time Injury,Day,3–5 years,Environmental condition,22,Yes
INC-0249,2022,2,Processing Plant,Electrical Incident,Lost Time Injury,Afternoon,<1 year,Insufficient training,12,Yes
INC-0250,2022,7,Open Pit Operations,Fire / Explosion,Lost Time Injury,Day,1–3 years,Insufficient training,16,Yes
